example_index,plain_logit,paillier_decrypted_logit,absolute_error,plain_probability,paillier_probability,keygen_seconds,encrypt_embedding_seconds,encrypted_dot_seconds,decrypt_seconds,key_bits,scale
0,-0.20203533169130233,-0.20206519,2.9858308697672253e-05,0.4496622756292408,0.44965488672073756,0.004053960999954143,0.010989412000071752,0.009149887999910788,0.0004434279999259161,256,10000
1,1.0164049855125996,1.01654623,0.00014124448740049367,0.734271742945308,0.7342993011987723,0.0,0.011171924000109357,0.008551610000040455,0.00045882300014454813,256,10000
2,0.8325525547813293,0.83264617,9.361521867068401e-05,0.6968943834391466,0.6969141576608525,0.0,0.011286364000170579,0.009279526999989685,0.0004374360000838351,256,10000
3,-0.9292427733536305,-0.92932642,8.364664636950625e-05,0.28307836462615216,0.28306138926518504,0.0,0.011209370999949897,0.008141414999954577,0.00046043299994380504,256,10000
4,-1.6479078447302682,-1.64806136,0.00015351526973184093,0.1613919108562928,0.16137113447938406,0.0,0.011399945999983174,0.008156308999787143,0.0004953670002123545,256,10000
5,1.4137968932443254,1.41400665,0.00020975675567447283,0.8043641227343663,0.8043971284705147,0.0,0.011112768999964828,0.008608933000004981,0.0004432949999682023,256,10000
6,-1.2317760316780522,-1.23186196,8.592832194787015e-05,0.2258707298247125,0.2258557053414452,0.0,0.010986221000166552,0.008365760000060618,0.00043325199999344477,256,10000
7,0.8197115798389828,0.81982914,0.0001175601610171606,0.6941751130835682,0.694200070068776,0.0,0.011219520999929955,0.00870530800011693,0.00043293199996696785,256,10000
